Configuration,Phase,Epoch,Loss,Accuracy
64x3_0.001,train,1,0.5270986228872229,0.8037222222222222
64x3_0.001,val,1,0.48010064776738487,0.8295
64x3_0.001,train,2,0.34682346053476687,0.8726296296296296
64x3_0.001,val,2,0.33065038855870565,0.8738333333333334
64x3_0.001,train,3,0.2949718818487944,0.8923333333333333
64x3_0.001,val,3,0.3100138711929321,0.8878333333333334
64x3_0.001,train,4,0.2653258407204239,0.9033888888888889
64x3_0.001,val,4,0.26185602593421936,0.9031666666666667
64x3_0.001,train,5,0.245974318018666,0.9102407407407408
64x3_0.001,val,5,0.2512666053374608,0.9093333333333333
64x3_0.001,train,6,0.23087658007939657,0.9152222222222223
64x3_0.001,val,6,0.2417685157060623,0.915
64x3_0.001,train,7,0.21481327887817667,0.9209259259259259
64x3_0.001,val,7,0.23155198268095653,0.9161666666666667
64x3_0.001,train,8,0.17939877588219114,0.9346666666666666
64x3_0.001,val,8,0.21597634867827098,0.9183333333333333
64x3_0.001,train,9,0.17194659925390174,0.9368703703703704
64x3_0.001,val,9,0.2008624814748764,0.925
64x3_0.001,train,10,0.16667789855709783,0.9378888888888889
64x3_0.001,val,10,0.1941261140902837,0.9328333333333333
64x3_0.001,train,11,0.15950132432248856,0.9410185185185185
64x3_0.001,val,11,0.2094687575896581,0.9226666666666666
64x3_0.001,train,12,0.15294246900081634,0.9432777777777778
64x3_0.001,val,12,0.21799993336200715,0.921
64x3_0.001,train,13,0.1526344974261743,0.943962962962963
64x3_0.001,val,13,0.1990078355471293,0.928
64x3_0.001,train,14,0.14327418505262446,0.9477037037037037
64x3_0.001,val,14,0.20056869129339855,0.9293333333333333
64x3_0.001,train,15,0.1226531699012827,0.9559444444444445
64x3_0.001,val,15,0.17918691551685334,0.9385
64x3_0.001,train,16,0.1154671735962232,0.9573703703703703
64x3_0.001,val,16,0.1912889935175578,0.9326666666666666
64x3_0.001,train,17,0.11327556584941016,0.9584444444444444
64x3_0.001,val,17,0.18233756148815156,0.9346666666666666
64x3_0.001,train,18,0.10897171895592302,0.9598148148148148
64x3_0.001,val,18,0.18639758086204528,0.9336666666666666
64x3_0.001,train,19,0.10624863152481892,0.9614074074074074
64x3_0.001,val,19,0.1825387588342031,0.9385
64x3_0.001,train,20,0.10405141558029034,0.9611481481481482
64x3_0.001,val,20,0.1853296505610148,0.94
64x3_0.001,train,21,0.0994778714135841,0.9634074074074074
64x3_0.001,val,21,0.2018138508796692,0.9333333333333333
64x3_0.001,train,22,0.08567873853003537,0.9685185185185186
64x3_0.001,val,22,0.18838846524556477,0.937
64x3_0.001,train,23,0.0820237542423937,0.9705
64x3_0.001,val,23,0.18813962439695994,0.9351666666666667
64x3_0.001,train,24,0.08238913775373388,0.969574074074074
64x3_0.001,val,24,0.18828680992126465,0.9381666666666667
64x3_0.001,train,25,0.08054160317668209,0.9703518518518518
64x3_0.001,val,25,0.18740002806981404,0.9378333333333333
32x4_0.001,train,1,0.48773268197200914,0.8182222222222222
32x4_0.001,val,1,0.36883735076586405,0.8628333333333333
32x4_0.001,train,2,0.3289828050710537,0.8780555555555556
32x4_0.001,val,2,0.3711008052031199,0.8686666666666667
32x4_0.001,train,3,0.28794023758835263,0.8935
32x4_0.001,val,3,0.28234561228752136,0.8973333333333333
32x4_0.001,train,4,0.2637157066883864,0.9025740740740741
32x4_0.001,val,4,0.30118870560328165,0.8896666666666667
32x4_0.001,train,5,0.24718974289187678,0.9090555555555555
32x4_0.001,val,5,0.2666058711210887,0.9031666666666667
32x4_0.001,train,6,0.23140616261076044,0.9130185185185186
32x4_0.001,val,6,0.25155507282416023,0.9023333333333333
32x4_0.001,train,7,0.2196604483878171,0.9194444444444444
32x4_0.001,val,7,0.24570986139774323,0.9105
32x4_0.001,train,8,0.18539977144753492,0.932037037037037
32x4_0.001,val,8,0.2239613240559896,0.9181666666666667
32x4_0.001,train,9,0.17500226966981536,0.9348703703703704
32x4_0.001,val,9,0.21209362383683522,0.9218333333333333
32x4_0.001,train,10,0.17128575027872014,0.9368518518518518
32x4_0.001,val,10,0.21296613748868307,0.9241666666666667
32x4_0.001,train,11,0.16522941619378548,0.9383888888888889
32x4_0.001,val,11,0.21559676984945933,0.9213333333333333
32x4_0.001,train,12,0.16052358917395274,0.9402037037037037
32x4_0.001,val,12,0.2118000689347585,0.9223333333333333
32x4_0.001,train,13,0.15628915990723505,0.9416851851851852
32x4_0.001,val,13,0.21216215336322786,0.9265
32x4_0.001,train,14,0.15269907380033423,0.9433518518518519
32x4_0.001,val,14,0.21496447495619456,0.9218333333333333
32x4_0.001,train,15,0.1319064992489638,0.9505370370370371
32x4_0.001,val,15,0.20522972718874613,0.9305
32x4_0.001,train,16,0.12360350158479479,0.9535
32x4_0.001,val,16,0.19704495946566264,0.931
32x4_0.001,train,17,0.11890708727969064,0.9554074074074074
32x4_0.001,val,17,0.1948303588628769,0.934
32x4_0.001,train,18,0.11781911210439823,0.9566481481481481
32x4_0.001,val,18,0.19315698969364167,0.9343333333333333
32x4_0.001,train,19,0.11149035451147292,0.9587222222222223
32x4_0.001,val,19,0.1957460143963496,0.9333333333333333
32x4_0.001,train,20,0.10820844468584767,0.9595370370370371
32x4_0.001,val,20,0.2015326066017151,0.9296666666666666
32x4_0.001,train,21,0.10700017798609204,0.9598888888888889
32x4_0.001,val,21,0.19702802646160125,0.9308333333333333
32x4_0.001,train,22,0.0955290682371016,0.964925925925926
32x4_0.001,val,22,0.1952950553894043,0.9328333333333333
32x4_0.001,train,23,0.0924227552789229,0.9655555555555555
32x4_0.001,val,23,0.20748365791638693,0.9316666666666666
32x4_0.001,train,24,0.08816512970571165,0.9672222222222222
32x4_0.001,val,24,0.19677558994293212,0.9343333333333333
32x4_0.001,train,25,0.08439173611225906,0.9688333333333333
32x4_0.001,val,25,0.2026607726017634,0.9358333333333333
