Configuration,Phase,Epoch,Loss,Accuracy
64x2_0.001,train,1,0.6619374180634816,0.7598703703703704
64x2_0.001,val,1,0.5775370599428813,0.7935
64x2_0.001,train,2,0.4434266009683962,0.836462962962963
64x2_0.001,val,2,0.40398247456550596,0.8521666666666666
64x2_0.001,train,3,0.3753230719654648,0.8631851851851852
64x2_0.001,val,3,0.36528848179181417,0.8685
64x2_0.001,train,4,0.33895135906007556,0.8768888888888889
64x2_0.001,val,4,0.3502525546550751,0.8745
64x2_0.001,train,5,0.3137957652939691,0.8863518518518518
64x2_0.001,val,5,0.31032176144917806,0.8896666666666667
64x2_0.001,train,6,0.29024039235821475,0.8951666666666667
64x2_0.001,val,6,0.49919565669695537,0.8236666666666667
64x2_0.001,train,7,0.2795162076729315,0.899074074074074
64x2_0.001,val,7,0.2978506233692169,0.8931666666666667
64x2_0.001,train,8,0.24457690149324912,0.9117407407407407
64x2_0.001,val,8,0.2584602821667989,0.9101666666666667
64x2_0.001,train,9,0.23630216204237056,0.9145
64x2_0.001,val,9,0.2586788238286972,0.9081666666666667
64x2_0.001,train,10,0.2302023966577318,0.9172962962962963
64x2_0.001,val,10,0.2763072878519694,0.899
64x2_0.001,train,11,0.22756345673843667,0.919
64x2_0.001,val,11,0.244319127202034,0.9126666666666666
64x2_0.001,train,12,0.22319837219626815,0.9183703703703704
64x2_0.001,val,12,0.23971969854831696,0.9115
64x2_0.001,train,13,0.21849108103911083,0.9205555555555556
64x2_0.001,val,13,0.24327198652426402,0.9106666666666666
64x2_0.001,train,14,0.2158623421942746,0.9227592592592593
64x2_0.001,val,14,0.26679995393753053,0.9085
64x2_0.001,train,15,0.19764630923447785,0.9278518518518518
64x2_0.001,val,15,0.21936735447247824,0.9206666666666666
64x2_0.001,train,16,0.19328107166731798,0.9313518518518519
64x2_0.001,val,16,0.2220147136847178,0.9173333333333333
64x2_0.001,train,17,0.19207389604162287,0.9298703703703703
64x2_0.001,val,17,0.22510515395800273,0.9183333333333333
64x2_0.001,train,18,0.18876791159311931,0.9327407407407408
64x2_0.001,val,18,0.22899985206127166,0.9208333333333333
64x2_0.001,train,19,0.18674345531728534,0.9327777777777778
64x2_0.001,val,19,0.22137273852030437,0.9218333333333333
64x2_0.001,train,20,0.18590509221288892,0.9326481481481481
64x2_0.001,val,20,0.22528627200921378,0.9195
32x3_0.001,train,1,0.5447119371361203,0.7955555555555556
32x3_0.001,val,1,0.39323278673489886,0.8576666666666667
32x3_0.001,train,2,0.36314418818332533,0.8659629629629629
32x3_0.001,val,2,0.3515294876893361,0.8685
32x3_0.001,train,3,0.3143628804948595,0.8844814814814815
32x3_0.001,val,3,0.3128344170252482,0.8868333333333334
32x3_0.001,train,4,0.28710992350401704,0.8947407407407407
32x3_0.001,val,4,0.3112563637495041,0.8835
32x3_0.001,train,5,0.2690636887108838,0.9012222222222223
32x3_0.001,val,5,0.2862240932782491,0.8975
32x3_0.001,train,6,0.25174607380231223,0.9072592592592592
32x3_0.001,val,6,0.2609115176995595,0.9066666666666666
32x3_0.001,train,7,0.24309847851594288,0.9095
32x3_0.001,val,7,0.2527463363409042,0.9043333333333333
32x3_0.001,train,8,0.21091202959749433,0.9226111111111112
32x3_0.001,val,8,0.24581580074628195,0.906
32x3_0.001,train,9,0.20021248083644444,0.926037037037037
32x3_0.001,val,9,0.22864261571566263,0.9171666666666667
32x3_0.001,train,10,0.19771891211580347,0.9275740740740741
32x3_0.001,val,10,0.24167280546824138,0.913
32x3_0.001,train,11,0.19441557588400665,0.928962962962963
32x3_0.001,val,11,0.22751890726884205,0.9181666666666667
32x3_0.001,train,12,0.18751611897680495,0.9315185185185185
32x3_0.001,val,12,0.22790919582049052,0.916
32x3_0.001,train,13,0.1843217478637342,0.9327962962962963
32x3_0.001,val,13,0.2297423615058263,0.9163333333333333
32x3_0.001,train,14,0.18159402714835274,0.9328333333333333
32x3_0.001,val,14,0.23132297813892364,0.9151666666666667
32x3_0.001,train,15,0.16340329346833404,0.9393518518518519
32x3_0.001,val,15,0.20314040907224018,0.9271666666666667
32x3_0.001,train,16,0.1608443719987516,0.9398888888888889
32x3_0.001,val,16,0.21217596129576366,0.927
32x3_0.001,train,17,0.15458545847733815,0.942925925925926
32x3_0.001,val,17,0.19841527704397838,0.9261666666666667
32x3_0.001,train,18,0.1535221867384734,0.9438518518518518
32x3_0.001,val,18,0.19850378000736238,0.9265
32x3_0.001,train,19,0.14942772706791208,0.9456666666666667
32x3_0.001,val,19,0.20135772677262623,0.9273333333333333
32x3_0.001,train,20,0.14818404151995976,0.9461851851851852
32x3_0.001,val,20,0.20750892678896585,0.9261666666666667
